go_id	go_term	go_domain	size	genes
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	1	PFF0285c
GO:0000015	phosphopyruvate hydratase complex	cellular_component	1	PF10_0155
GO:0000027	ribosomal large subunit assembly	biological_process	3	PF07_0121|PFB0850c|PFB0855c
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	2	PF14_0749|PFL0415w
GO:0000041	transition metal ion transport	biological_process	3	PF07_0065|PF14_0369|PFI0240c
GO:0000045	autophagic vacuole assembly	biological_process	1	PF10_0155
GO:0000054	ribosomal subunit export from nucleus	biological_process	1	PF07_0121
GO:0000055	ribosomal large subunit export from nucleus	biological_process	1	PF07_0121
GO:0000070	mitotic sister chromatid segregation	biological_process	2	MAL13P1.96|PF11_0317
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	1	PFF1445c
GO:0000096	sulfur amino acid metabolic process	biological_process	2	MAL7P1.150|PF07_0068
GO:0000104	succinate dehydrogenase activity	molecular_function	2	PF10_0334|PFL0630w
GO:0000105	histidine biosynthetic process	biological_process	1	PF13_0157
GO:0000109	nucleotide-excision repair complex	cellular_component	1	PFL2440w
GO:0000118	histone deacetylase complex	cellular_component	2	MAL7P1.37|PF14_0690
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological_process	1	PFF0350w
GO:0000126	transcription factor TFIIIB complex	cellular_component	2	PF14_0469|PFE0415w
GO:0000139	Golgi membrane	cellular_component	1	PFC0160w
GO:0000146	microfilament motor activity	molecular_function	4	MAL13P1.148|PF11_0416|PF14_0124|PFL1435c
GO:0000151	ubiquitin ligase complex	cellular_component	3	PF14_0576|PFC0845c|PFF1180w
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	1	PFF1180w
GO:0000154	rRNA modification	biological_process	4	PF14_0156|PFB0890c|PFD0455w|PFL2395c
GO:0000159	protein phosphatase type 2A complex	cellular_component	1	PF13_0302
GO:0000162	tryptophan biosynthetic process	biological_process	1	PF13_0157
GO:0000164	protein phosphatase type 1 complex	cellular_component	1	PF10_0320a
GO:0000166	nucleotide binding	molecular_function	76	MAL13P1.164|MAL13P1.241|MAL13P1.243|MAL13P1.294|MAL7P1.113|MAL7P1.122|MAL7P1.145|MAL7P1.73|MAL8P1.19|MAL8P1.33|PF07_0062|PF07_0073|PF07_0104|PF08_0048|PF10_0203|PF10_0337|PF10_0340|PF11_0053|PF11_0171|PF11_0181|PF11_0184|PF11_0188|PF11_0225|PF11_0245|PF11_0270|PF11_0331|PF11_0466|PF11_0488|PF13_0218|PF13_0257|PF13_0261|PF13_0262|PF13_0271|PF13_0349|PF13_0350|PF14_0052|PF14_0063|PF14_0104|PF14_0114|PF14_0126|PF14_0159|PF14_0173|PF14_0345a|PF14_0423|PF14_0486|PF14_0672|PFC0770c|PFD0530c|PFD0685c|PFD0710w|PFD0950w|PFE0175c|PFE0665c|PFE0830c|PFE1435c|PFF0625w|PFF0775w|PFI0755c|PFL0075w|PFL0100c|PFL0380c|PFL0495c|PFL0545w|PFL0560c|PFL0580w|PFL0835w|PFL1125w|PFL1410c|PFL1425w|PFL1435c|PFL1590c|PFL1925w|PFL2005w|PFL2430c|PFL2440w|PFL2485c
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	5	MAL13P1.204|MAL7P1.104|PF13_0340|PF14_0413|PFD0515w
GO:0000178	exosome (RNase complex)	cellular_component	5	MAL13P1.289|MAL7P1.104|PF13_0340|PF14_0256|PFD0515w
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	1	PFL2395c
GO:0000213	tRNA-intron endonuclease activity	molecular_function	1	PF14_0514
GO:0000214	tRNA-intron endonuclease complex	cellular_component	1	PF14_0514
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	cellular_component	2	PF13_0227|PF14_0615
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	2	PF13_0034|PF13_0130
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	molecular_function	1	PFF1190c
GO:0000226	microtubule cytoskeleton organization	biological_process	2	PF10_0084|PFC0165w
GO:0000228	nuclear chromosome	cellular_component	2	MAL8P1.76|PFD0685c
GO:0000245	spliceosomal complex assembly	biological_process	2	PFD0180c|PFL1520w
GO:0000280	nuclear division	biological_process	1	MAL7P1.118
