go_id	go_term	go_domain	size	genes
GO:0000001	mitochondrion inheritance	biological_process	12	3253202;3253304;3253652;3253698;3254042;3254547;3255475;3255478;3255907;3256765;3257454;3258176
GO:0000002	mitochondrial genome maintenance	biological_process	14	3255475;3255651;3255818;3255908;3256332;3256718;3256981;3257014;3257055;3258283;3258500;3258598;3258985;3259484
GO:0000003	reproduction	biological_process	51	3253223;3253424;3253505;3253529;3253611;3254027;3254121;3254236;3254396;3254432;3254470;3254663;3254871;3255388;3255823;3255840;3255989;3256022;3256091;3256115;3256187;3256313;3256321;3256405;3256481;3256487;3256613;3256666;3256688;3256760;3256939;3257051;3257170;3257270;3257694;3257836;3257888;3257923;3258044;3258140;3258222;3258358;3258631;3258675;3258750;3258890;3259186;3259307;3259505;3259534;3259598
GO:0000005	ribosomal chaperone activity	molecular_function	3	3254022;3256414;3257091
GO:0000007	low-affinity zinc ion transmembrane transporter activity	molecular_function	3	3257342;3258666;3258717
GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	6	3253625;3253841;3256667;3257424;3258444;3259486
GO:0000010	trans-hexaprenyltranstransferase activity	molecular_function	1	3259709
GO:0000011	vacuole inheritance	biological_process	13	3253261;3253304;3253652;3253698;3254681;3255809;3255907;3256450;3257041;3257436;3257454;3258176;3258406
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	4	3253403;3257863;3258456;3259172
GO:0000015	phosphopyruvate hydratase complex	cellular_component	3	3256354;3257750;3257906
GO:0000017	alpha-glucoside transport	biological_process	7	3255087;3255127;3255310;3255917;3258080;3258247;3258307
GO:0000018	regulation of DNA recombination	biological_process	4	3253862;3254253;3256204;3259735
GO:0000019	regulation of mitotic recombination	biological_process	1	3253862
GO:0000022	mitotic spindle elongation	biological_process	11	3253413;3253668;3255460;3256315;3257979;3257993;3258028;3258400;3258677;3259570;3259756
GO:0000023	maltose metabolic process	biological_process	1	3258280
GO:0000025	maltose catabolic process	biological_process	1	3258280
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	3	3254079;3255618;3255843
GO:0000027	ribosomal large subunit assembly	biological_process	30	3253842;3254120;3254138;3254316;3254425;3254568;3254570;3255082;3255565;3255641;3255702;3255873;3255988;3256329;3256387;3256487;3256542;3256686;3256709;3257049;3257407;3257527;3257793;3257801;3257913;3258278;3258816;3259037;3259047;3259569
GO:0000028	ribosomal small subunit assembly	biological_process	10	3253314;3253949;3255914;3256136;3256414;3257091;3257168;3258345;3258799;3259390
GO:0000030	mannosyltransferase activity	molecular_function	19	3253625;3253841;3253851;3254079;3254335;3254774;3255583;3255618;3255843;3256055;3256667;3257042;3257135;3257232;3257424;3258111;3258444;3259232;3259486
GO:0000032	cell wall mannoprotein biosynthetic process	biological_process	6	3254162;3255843;3256248;3257424;3258763;3259486
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	1	3254774
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	2	3256895;3257425
GO:0000038	very long-chain fatty acid metabolic process	biological_process	1	3257667
GO:0000041	transition metal ion transport	biological_process	30	3253840;3254125;3254533;3254747;3255162;3255211;3255524;3255721;3256267;3256386;3256440;3256724;3257132;3257265;3257324;3257342;3257513;3257549;3257849;3258666;3258717;3258718;3258946;3258962;3259146;3259147;3259302;3259327;3259612;3259694
GO:0000045	autophagic vacuole assembly	biological_process	1	3257074
GO:0000048	peptidyltransferase activity	molecular_function	3	3253327;3253901;3257793
GO:0000049	tRNA binding	molecular_function	3	3257475;3257540;3258249
GO:0000052	citrulline metabolic process	biological_process	1	3257332
GO:0000053	argininosuccinate metabolic process	biological_process	1	3257332
GO:0000054	ribosomal subunit export from nucleus	biological_process	13	3253538;3253611;3253959;3255434;3256187;3256299;3256878;3256990;3257402;3258393;3258811;3259132;3259398
GO:0000055	ribosomal large subunit export from nucleus	biological_process	6	3253538;3253959;3256299;3256878;3257402;3258811
GO:0000059	protein import into nucleus, docking	biological_process	1	3257238
GO:0000062	fatty-acyl-CoA binding	molecular_function	2	3255269;3257207
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	1	3254297
GO:0000066	mitochondrial ornithine transport	biological_process	1	3254297
GO:0000070	mitotic sister chromatid segregation	biological_process	21	3253413;3253511;3253668;3254852;3255025;3255460;3255644;3255992;3256028;3256315;3256397;3256523;3257217;3257970;3257979;3257993;3258028;3258400;3258677;3258928;3259570
GO:0000075	cell cycle checkpoint	biological_process	16	3254215;3255176;3255388;3255713;3256070;3256611;3256782;3256890;3257797;3257901;3258150;3258308;3258523;3258806;3258997;3259126
GO:0000076	DNA replication checkpoint	biological_process	1	3257797
GO:0000077	DNA damage checkpoint	biological_process	3	3256782;3257797;3258806
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	7	3254157;3255259;3256447;3256782;3257854;3258551;3258721
GO:0000080	mitotic G1 phase	biological_process	3	3253420;3254962;3258220
GO:0000082	G1/S transition of mitotic cell cycle	biological_process	23	3253210;3253393;3253485;3253734;3253876;3254627;3255259;3255508;3256060;3256126;3256782;3257076;3257341;3257844;3257854;3257901;3258163;3258311;3258734;3258761;3258943;3259050;3259086
GO:0000084	mitotic S phase	biological_process	4	3253393;3255542;3256126;3258728
GO:0000086	G2/M transition of mitotic cell cycle	biological_process	23	3253210;3253393;3253876;3254157;3254518;3254739;3255259;3255508;3256060;3256126;3256148;3256447;3257844;3257854;3258311;3258551;3258721;3258734;3258943;3259019;3259050;3259756;3259784
GO:0000087	mitotic M phase	biological_process	2	3257542;3259017
GO:0000090	mitotic anaphase	biological_process	2	3253511;3258851
GO:0000092	mitotic anaphase B	biological_process	2	3253511;3258851
GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	1	3258608
GO:0000096	sulfur amino acid metabolic process	biological_process	24	3253248;3253577;3253595;3253712;3253743;3253937;3254105;3254339;3254455;3254643;3254762;3254817;3254886;3254958;3255532;3255830;3256061;3256918;3257697;3257782;3257976;3259412;3259413;3259637
GO:0000097	sulfur amino acid biosynthetic process	biological_process	8	3253577;3253937;3254455;3254643;3254762;3254817;3254958;3257782
GO:0000099	sulfur amino acid transmembrane transporter activity	molecular_function	3	3253648;3255973;3258233
GO:0000101	sulfur amino acid transport	biological_process	3	3253648;3255973;3258233
GO:0000102	L-methionine secondary active transmembrane transporter activity	molecular_function	2	3255973;3258233
GO:0000103	sulfate assimilation	biological_process	7	3253937;3254886;3255015;3255830;3257976;3258661;3259637
GO:0000104	succinate dehydrogenase activity	molecular_function	3	3253728;3258643;3259761
GO:0000105	histidine biosynthetic process	biological_process	9	3253857;3255591;3256019;3256356;3257007;3257456;3258605;3259352;3259362
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	1	3253857
