go_id	go_term	go_domain	size	genes
GO:0000023	maltose metabolic process	biological_process	2	3477944;3479664
GO:0000030	mannosyltransferase activity	molecular_function	2	3475940;3478580
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	4	3478350;3480190;3481068;3481069
GO:0000103	sulfate assimilation	biological_process	3	3475463;3475464;3479874
GO:0000104	succinate dehydrogenase activity	molecular_function	4	3478174;3478175;3478176;3478177
GO:0000105	histidine biosynthetic process	biological_process	13	3475456;3475457;3475458;3477747;3478434;3480551;3480952;3480953;3480955;3480956;3481014;3481015;3481161
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	2	3480953;3480956
GO:0000154	rRNA modification	biological_process	5	3478566;3480024;3480620;3481167;3481418
GO:0000155	phosphorelay sensor kinase activity	molecular_function	80	3475356;3475471;3475551;3475553;3475611;3475710;3475790;3475957;3475982;3476075;3476224;3476226;3476255;3476337;3476338;3476358;3476461;3476499;3476566;3476592;3476918;3476943;3476966;3477143;3477158;3477219;3477236;3477322;3477365;3477369;3477769;3477810;3477866;3477868;3477871;3478084;3478106;3478108;3478213;3478305;3478418;3478532;3478568;3478570;3478588;3478593;3478609;3478685;3478734;3478819;3478827;3478907;3478911;3479058;3479162;3479188;3479213;3479246;3479286;3479298;3479330;3479406;3479461;3479516;3479601;3479669;3479818;3480016;3480084;3480195;3480479;3480610;3480689;3480794;3480870;3480894;3480969;3481219;3481253;3481276
GO:0000156	phosphorelay response regulator activity	molecular_function	116	3475356;3475381;3475472;3475551;3475552;3475553;3475554;3475611;3475710;3475711;3475712;3475789;3475958;3475981;3476075;3476077;3476225;3476226;3476254;3476334;3476335;3476338;3476358;3476462;3476565;3476593;3476919;3476944;3476966;3477078;3477083;3477136;3477143;3477158;3477220;3477228;3477237;3477254;3477322;3477323;3477324;3477325;3477364;3477365;3477369;3477408;3477415;3477601;3477604;3477770;3477811;3477866;3477867;3477868;3477871;3477872;3478085;3478092;3478106;3478107;3478108;3478109;3478213;3478305;3478417;3478532;3478569;3478570;3478589;3478594;3478601;3478610;3478684;3478735;3478819;3478820;3478828;3478911;3478913;3479058;3479129;3479214;3479247;3479263;3479287;3479299;3479306;3479330;3479331;3479407;3479460;3479515;3479622;3479701;3479818;3480015;3480073;3480085;3480151;3480195;3480198;3480199;3480374;3480478;3480484;3480608;3480690;3480780;3480793;3480869;3480893;3480968;3481253;3481264;3481279;3481289
