go_id	go_term	go_domain	size	genes
GO:0000023	maltose metabolic process	biological_process	1	sfsA
GO:0000036	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process	molecular_function	2	acpP-1|acpP-2
GO:0000041	transition metal ion transport	biological_process	10	GSU2147|cbiO|cbiQ|copA|corA-1|corA-2|feoB-1|feoB-2|nikO|nikQ
GO:0000096	sulfur amino acid metabolic process	biological_process	7	cysE-1|cysK|folD-1|folD-2|metK-1|metK-2|metX
GO:0000097	sulfur amino acid biosynthetic process	biological_process	5	cysE-1|cysK|folD-1|folD-2|metX
GO:0000104	succinate dehydrogenase activity	molecular_function	2	frdA|frdB
GO:0000105	histidine biosynthetic process	biological_process	12	folD-1|folD-2|hisA|hisB|hisC|hisD|hisE|hisF|hisGL|hisGS|hisH|hisI
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	2	hisF|hisH
GO:0000154	rRNA modification	biological_process	7	GSU0671|GSU1197|rlmB|rluD|rsmA|rsmB|trmJ
GO:0000155	phosphorelay sensor kinase activity	molecular_function	89	GSU0007|GSU0008|GSU0103|GSU0144|GSU0149|GSU0253|GSU0255|GSU0281|GSU0283|GSU0356|GSU0373|GSU0452|GSU0475|GSU0599|GSU0681|GSU0693|GSU0700|GSU0718|GSU0775|GSU0812|GSU0822|GSU0842|GSU0881|GSU0962|GSU1036|GSU1037|GSU1038|GSU1043|GSU1050|GSU1119|GSU1148|GSU1249|GSU1265|GSU1285|GSU1292|GSU1296|GSU1302|GSU1319|GSU1414|GSU1443|GSU1529|GSU1555|GSU1630|GSU1655|GSU1656|GSU1878|GSU1927|GSU1928|GSU1941|GSU1990|GSU2042|GSU2189|GSU2288|GSU2297|GSU2314|GSU2384|GSU2388|GSU2401|GSU2444|GSU2492|GSU2507|GSU2531|GSU2534|GSU2565|GSU2567|GSU2575|GSU2667|GSU2669|GSU2755|GSU2789|GSU2815|GSU2816|GSU2916|GSU2947|GSU2969|GSU2991|GSU3138|GSU3148|GSU3230|GSU3252|GSU3357|GSU3419|GSU3437|fgrK|fgrL|gnfK|gnfL|phoR|pilS
